461077.553631
Start	Stop	Count
  0.007812	  0.015625	8093400.860404
  0.015625	  0.031250	31006515.051888
  0.031250	  0.062500	114475210.094177
  0.062500	  0.125000	396690442.277842
  0.125000	  0.250000	1187898375.892345
