28819.68277
Start	Stop	Count
  0.007812	  0.015625	25453.279328
  0.015625	  0.031250	97865.796006
  0.031250	  0.062500	360436.930883
  0.062500	  0.125000	1246156.358113
  0.125000	  0.250000	3689896.986298
