57665.9466001
Start	Stop	Count
  0.007812	  0.015625	5968794.577785
  0.015625	  0.031250	22902766.029245
  0.031250	  0.062500	84499076.090415
  0.062500	  0.125000	292722008.827892
  0.125000	  0.250000	874352124.633411
