#       theta_min       theta_max              RR     error
  1.0000000000e-03 1.0232929923e-03 8.3296310754e-11  0.000000
  1.0232929923e-03 1.0471285481e-03 8.7222593786e-11  0.000000
  1.0471285481e-03 1.0715193052e-03 9.1331688901e-11  0.000000
  1.0715193052e-03 1.0964781961e-03 9.5635400465e-11  0.000000
  1.0964781961e-03 1.1220184543e-03 1.0014261304e-10  0.000000
  1.1220184543e-03 1.1481536215e-03 1.0486123153e-10  0.000000
  1.1481536215e-03 1.1748975549e-03 1.0980369236e-10  0.000000
  1.1748975549e-03 1.2022644346e-03 1.1497661495e-10  0.000000
  1.2022644346e-03 1.2302687708e-03 1.2039405257e-10  0.000000
  1.2302687708e-03 1.2589254118e-03 1.2606660285e-10  0.000000
  1.2589254118e-03 1.2882495517e-03 1.3200813921e-10  0.000000
  1.2882495517e-03 1.3182567386e-03 1.3822647868e-10  0.000000
  1.3182567386e-03 1.3489628826e-03 1.4474142224e-10  0.000000
  1.3489628826e-03 1.3803842646e-03 1.5156171690e-10  0.000000
  1.3803842646e-03 1.4125375446e-03 1.5870232608e-10  0.000000
  1.4125375446e-03 1.4454397707e-03 1.6618136819e-10  0.000000
  1.4454397707e-03 1.4791083882e-03 1.7401128366e-10  0.000000
  1.4791083882e-03 1.5135612484e-03 1.8221167504e-10  0.000000
  1.5135612484e-03 1.5488166189e-03 1.9079631990e-10  0.000000
  1.5488166189e-03 1.5848931925e-03 1.9978527336e-10  0.000000
  1.5848931925e-03 1.6218100974e-03 2.0919980533e-10  0.000000
  1.6218100974e-03 1.6595869074e-03 2.1905529940e-10  0.000000
  1.6595869074e-03 1.6982436525e-03 2.2937739018e-10  0.000000
  1.6982436525e-03 1.7378008287e-03 2.4018633695e-10  0.000000
  1.7378008287e-03 1.7782794100e-03 2.5150152386e-10  0.000000
  1.7782794100e-03 1.8197008586e-03 2.6335297562e-10  0.000000
  1.8197008586e-03 1.8620871367e-03 2.7576079514e-10  0.000000
  1.8620871367e-03 1.9054607180e-03 2.8875350701e-10  0.000000
  1.9054607180e-03 1.9498445998e-03 3.0235788407e-10  0.000000
  1.9498445998e-03 1.9952623150e-03 3.1660436367e-10  0.000000
  1.9952623150e-03 2.0417379447e-03 3.3152199834e-10  0.000000
  2.0417379447e-03 2.0892961309e-03 3.4714243928e-10  0.000000
  2.0892961309e-03 2.1379620895e-03 3.6349815987e-10  0.000000
  2.1379620895e-03 2.1877616239e-03 3.8062571547e-10  0.000000
  2.1877616239e-03 2.2387211386e-03 3.9855886610e-10  0.000000
  2.2387211386e-03 2.2908676528e-03 4.1733684519e-10  0.000000
  2.2908676528e-03 2.3442288153e-03 4.3699709082e-10  0.000000
  2.3442288153e-03 2.3988329190e-03 4.5758687208e-10  0.000000
  2.3988329190e-03 2.4547089157e-03 4.7914585019e-10  0.000000
  2.4547089157e-03 2.5118864315e-03 5.0171873909e-10  0.000000
  2.5118864315e-03 2.5703957828e-03 5.2535679682e-10  0.000000
  2.5703957828e-03 2.6302679919e-03 5.5010538817e-10  0.000000
  2.6302679919e-03 2.6915348039e-03 5.7602184643e-10  0.000000
  2.6915348039e-03 2.7542287033e-03 6.0315798941e-10  0.000000
  2.7542287033e-03 2.8183829313e-03 6.3157639623e-10  0.000000
  2.8183829313e-03 2.8840315031e-03 6.6133249918e-10  0.000000
  2.8840315031e-03 2.9512092267e-03 6.9248688426e-10  0.000000
  2.9512092267e-03 3.0199517204e-03 7.2510796989e-10  0.000000
  3.0199517204e-03 3.0902954325e-03 7.5926731825e-10  0.000000
  3.0902954325e-03 3.1622776602e-03 7.9503645025e-10  0.000000
  3.1622776602e-03 3.2359365693e-03 8.3249048550e-10  0.000000
  3.2359365693e-03 3.3113112148e-03 8.7170596027e-10  0.000000
  3.3113112148e-03 3.3884415614e-03 9.1277219088e-10  0.000000
  3.3884415614e-03 3.4673685045e-03 9.5577094418e-10  0.000000
  3.4673685045e-03 3.5481338923e-03 1.0007950966e-09  0.000000
  3.5481338923e-03 3.6307805477e-03 1.0479401104e-09  0.000000
  3.6307805477e-03 3.7153522910e-03 1.0973075777e-09  0.000000
  3.7153522910e-03 3.8018939632e-03 1.1489926416e-09  0.000000
  3.8018939632e-03 3.8904514499e-03 1.2031190287e-09  0.000000
  3.8904514499e-03 3.9810717055e-03 1.2597934402e-09  0.000000
  3.9810717055e-03 4.0738027780e-03 1.3191357644e-09  0.000000
  4.0738027780e-03 4.1686938347e-03 1.3812702007e-09  0.000000
  4.1686938347e-03 4.2657951880e-03 1.4463341077e-09  0.000000
  4.2657951880e-03 4.3651583224e-03 1.5144611922e-09  0.000000
  4.3651583224e-03 4.4668359215e-03 1.5858029384e-09  0.000000
  4.4668359215e-03 4.5708818961e-03 1.6604999362e-09  0.000000
  4.5708818961e-03 4.6773514129e-03 1.7387150892e-09  0.000000
  4.6773514129e-03 4.7863009232e-03 1.8206040153e-09  0.000000
  4.7863009232e-03 4.8977881937e-03 1.9063606351e-09  0.000000
  4.8977881937e-03 5.0118723363e-03 1.9961364172e-09  0.000000
  5.0118723363e-03 5.1286138399e-03 2.0901501470e-09  0.000000
  5.1286138399e-03 5.2480746025e-03 2.1885812199e-09  0.000000
  5.2480746025e-03 5.3703179637e-03 2.2916513756e-09  0.000000
  5.3703179637e-03 5.4954087386e-03 2.3995884250e-09  0.000000
  5.4954087386e-03 5.6234132519e-03 2.5125903457e-09  0.000000
  5.6234132519e-03 5.7543993734e-03 2.6309153794e-09  0.000000
  5.7543993734e-03 5.8884365536e-03 2.7548033362e-09  0.000000
